abandon,v. 遺棄
abbreviation,n.縮語
abide,v.遵守
ability,n.能力；才能
able,adj.能；有能力的
abnormal,adj.反常的
aboard,prep./adv.在(船、飛機、車)上
abolish,v.廢除
abolition,n.廢除
aboriginal,adj. adj.原住民的
aborigine,n. 原著居民
abortion,n.墮胎
about,prep./adv.關於
above,prep./adv./adj. 在…上面；優於，勝過
abroad,adv.在(到)國外
abrupt,adj.突然的；魯莽的
absence,n.缺席；缺少
absent,adj.缺席的
absolute,adj.完全的；絕對的
absorb,v.吸收；理解
absorbing,adj.極有趣的
abstract,adj.抽象的
abstraction,n.心不在焉／抽象概念
absurd,adj.荒唐的
abundance,n.豐富
academic,adj.學院的；學術的
acceleration,n.加速
accept,v./n.接受
acceptable,adj.可以接受的
acceptance,n.接受
accessible,adj.易接近的
accessory,n.附件
accident,n.事故
accidental,adj.偶然的；意外的
acclaim,v./n.歡呼；歡呼聲
accommodation,n住所
accompany,v.陪同
accomplish,v.完成
accomplished,adj.有才藝的
accomplishment,n. [C]才藝；[U]完成
accord,v.符合
accordingly,adv. 因此
account,n.帳戶；描述
account,v.認為；解釋
accountable,adj. 負有責任的
accountant,n.會計師
accounting,n.會計學
accumulate,v. 累積
accumulation,n.累積
accuracy,n.正確(性)
accurate,adj.準確的
accusation,n.控訴
accuse,v.把…歸咎(於)；指控
accustom,v.使習慣
ace,n.一點(撲克牌)；能手
ache,n./v.疼痛
achieve(ment),v.(n)完成；達到
acoustic,adj.聽覺的
acquaintance,n.熟人
acquire,v.取得
acquisition,n.取得；獲得物
acre,n.英畝
acreage,n.英畝數
across,prep./adv.橫越
act,n./v.行動；表演
action,n.行動；作用
active,adj.活躍的；積極的
activity,n.活動；活動力
actor,n.男演員
actress,n.女演員
actual,adj.實際的
acute,adj.敏銳的
ad,n.廣告
adapt,v.使適應
adaptation,n.適應；改編(本)
add,v.增加
addict,n.對～有癮的人
addiction,n.耽溺
addition,n.增加；附加
additional,adj.附加的
address,n./v.地址；致詞
adequately,adv.充分地
adjoin,v.毗連
adjust(ment),v.(n.)調整
administrative,adj.行政的
administrator,n.行政官員
admirable,adj.令人欽佩的
admiral,n.海軍將官
admiration,n.欽佩
admire,v.欽佩；欣賞
admission,n.加入許可；承認
admit,v.承認
adolescence,n.青春期
adolescent,adj./n.青春期的；青少年
adopt,v.採取；收養
adult,n.成年人
advance,n./v.推進；將…提前
advanced,adj.先進的；高等的
advancement,n.前進；擢升
advantage,n.有利條件；優勢
adventure,n.冒險
adverse,adj.反對的
advert,v.提及
advertise(ment),v.(n)為…做廣告
advertising,n.廣告業
advice,n.勸告；消息
advise,v.勸告；忠告；通知
adviser/advisor,n.顧問
advisory,adj.提供忠告的
advocate,n./v.提倡者；擁護
aerospace,n.航空太空(包括大氣層內外)
aesthetic,adj.美感的
affair,n.事情；事件
affect,v.影響；使感動
affection,n.愛情
affiliated,adj.相關聯的
afford,v.類得起；承擔得起
afraid,adj.害怕的
after,prep./adv./adj.在…之後；以後的
aftermath,n.餘波
afternoon,n.下午
afterward(s),adv.以後
again,adv.再一次
against,prep.反對；對著
age,n./v.年齡；使變老
agency,n.代理機構；仲介
agenda,n.議程
agent,n.代理人；仲介人
aggregate,n.總數
aggression,n.侵略
aggressive,adj.好鬥的；積極的
aging,adj.變老的
ago,adv. 在～以前
agony,n.痛苦
agree(ment),v.(n)同意
agriculture,n.農業
ahead,adv.在·前面；領先
aid,n./v.幫助
aide,n.助理
AIDS,n.愛滋病
aim,n./v.目標；瞄準
air,n.空氣；大氣；天空
aircraft,n.航空器；飛機
airforce,n.空軍
airline,n.航線；航空公司
airmail,n.航空郵件
airplane,n.飛機
airport,n.機場；航空站
air-tight,adj.密封的
airway,n.航空公司；航線
aisle,n.通道
akin,adj.類似的
alarm,n./v.警報；驚恐
alarming,adj.令人憂心的
alas,interj.哎呀(表悲傷或恐懼)
albeit,adv.儘管
album,n.一套唱片；相簿
alcohol,n.酒精
alcoholic,n./adj.酒精飲料；含酒精的
alert,adj./v./n.警覺的；警戒
algebra,n.代數
alien,adj.外國的
alienate,v.使不和
alienation,n.離間；疏遠
alike,adj./adv. 相同的
alive,adj.活著的；有活力的
all,adj./adv./pron.全部的；全體
allegation,n.宣稱
allege,v.聲稱
allergy,n.過敏性反應
alley,n.小巷子；小徑
alliance,n.聯盟
allied,adj.同盟的
allocate,v.撥給
allocation,n.配給
allot,v. 分配
allow,v. 允許
almost,adv.幾乎
alone,adj./adv.單獨的
along,prep./adv.沿著；一起
alongside,prep./adv.靠著…旁邊
aloud,adv.大聲地
alphabet,n.字母系統
already,adv.已經；先前
also,adv.同樣地
alteration,adj.更動
alternate,adj./v. 輪流的
alternative,adj.替代的；二擇一的
alternatively,adv.二擇一地
although,conj.雖然；然而
altitude,n.高度
altogether,adv.完全；總而言之
aluminum,n.鋁
always,adv.總是；永遠
amateur,n./adj.業餘從事者；業餘的
amaze(ment),v.(n)使驚愕
amazing,adj.令人驚訝的
ambassador,n.大使；使節
ambiguity,n.意義含糊
ambiguous,adj.含糊的
ambition,n.抱負；志向
ambitious,adj.野心勃勃的
ambulance,n.救護車
ambush,v.埋伏突擊
amend,v.修改
amid,prep.在…當中
ammunition,n.彈藥
amnesty,n.大赦
among,prep.在…之中
amount,n./v.共計；總數
amuse(ment),v.(n.)給～提供娛樂
analects,n.語錄
analogy,n.相似
analysis,n.分析
analyst,n.分析家
ancestor,n.祖先
ancestral,adj.祖先的
anchor,n.
ancient,adj.古代的
anecdote,n.軼事
angel,n.天使
anger,n.生氣
angle,n角度；立場
angler,n.釣魚者
angry,adj.生氣的
angular,adj.有尖角的
animal,n.動物
ankle,n.足踝
anniversary,n.週年紀念
announce(ment),v.(n.) 宣布
annual,adj.一年一度的
anonymous,adj.不具名的
another,adj./pron.另一個
answer,n./v.答案
ant,n.螞蟻
amenna,n.觸鬚；天線
anthem,n.聖歌
antibiotic,n.抗生素
antibody,n.抗體
anticipation,n.期盼
antique,adj.年代久遠的
anxiety,n.焦慮
anxious,adj.焦慮的
any,adj./adv./pron.任何的；若干
anyhow,adv.無論如何
anymore,adv.再也(不)
anyway,adv.無論如何
apart,adj./adv.分開的
apartment,n.公寓大樓
ape,n.大猩猩
apologize,v.道歉
apology,n.道歉
appal,v.(=appall)使驚駭
appalling,adj.令人恐懼的
apparent,adj.明顯的
appeal,n./v.吸引；呼籲
appealing,adj.迷人的
appear,v.出現；顯露
appearance,n.外貌；顯露
appetite,n.胃口；食慾
appetizer,n.(主菜前用的) 開胃食物
applaud,v.鼓掌
applause,n.掌聲
appliance,n.器具；裝備
applicable,adj.適用的
applicant,n.申請人
application,n.應用；申請書
apply,v.應用；申請
appoint,v.任命；指派
appointment,n.約定；指派
appraisal,n.評價
appreciate,v.欣賞；感激
appreciation,n.欣賞；感謝
apprehension,n.憂慮
apprentice,n.學徒
approach,n./v.接近；著手處理
appropriate,adj.適當的
approval,n.同意；認可
approve,v.同意；認可
April,n.四月
apron,n.圍裙；工作裙
apt,adj.有…傾向的
aptitude,n.資質
aquarium,n.水族館
arch,n.拱門；拱形
archaeology,n.考古學
architect,n.建築師；設計師
architecture,n.建築學；建築風格
archive,n.檔案
area,n.區域；範圍
arena,n.活動場所(供運動、娛樂的)
argue(ment),v.(n.)爭論；主張
arise,v.升起；復活
arithmetic,adj./n.算術的
arm,n.手臂
armchair,n.扶手椅
armed,adj.武裝的
army,n.軍隊；團體
around,prep./adv.各處；大約
arouse,v.喚起
arrange(ment),v.(n.) 安排
array,n.一長列
arrest,v./n.逮捕；拘留
arrival,n.到達；到達者
arrive,v.到達；抵達
arrogant,adj.傲慢的
arrow,n.箭
art,n.藝術；藝術品
article,n.文章；冠詞
articulate,v.清楚的表達
artificial,adj.人造的
artillery,n.大砲
